"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle from Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2014/03/28 23:46","119.537","65.242","124.612","0.03296124","44.344","6568.521","35.431","27.764","0.15557429","1.134705E22","2.199464E13","1.632214E23","1078.56","220.612"
"2014/03/28 23:58","120.912","65.491","126.431","0.03801365","44.036","6821.76","35.206","27.245","0.25716665","1.135496E22","2.206034E13","1.680556E23","1104.542","254.68400000000003"
"2014/03/29 00:10","121.919","66.068","127.426","0.03794407","43.639","6990.111999999999","34.941","26.704","0.28606465","1.129901E22","2.16513E13","1.694365E23","1098.547","253.733"
"2014/03/29 00:22","122.432","66.363","127.18","0.04037803","43.517","6936.544","34.764","26.387","0.18295979","1.135155E22","2.177113E13","1.693173E23","1091.215","269.895"
"2014/03/29 00:34","122.093","66.042","126.629","0.04204503","43.654","6932.939","34.658","26.056","0.0625057","1.134056E22","2.172607E13","1.686953E23","1090.366","282.193"
"2014/03/29 00:46","121.789","65.704","127.207","0.03892203","43.324","6934.345","34.421","25.679","0.22407496","1.149171E22","2.192493E13","1.705989E23","1095.873","263.879"
"2014/03/29 00:58","121.221","65.99","126.632","0.040253","43.762","7015.183000000001","34.786","26.518","0.26585227","1.143286E22","2.216952E13","1.728858E23","1107.481","271.572"
"2014/03/29 01:10","121.768","65.38600000000001","127.565","0.04134255","43.32899999999999","6983.529","34.551","26.361","0.12757792","1.148398E22","2.205826E13","1.722912E23","1103.713","279.952"
"2014/03/29 01:22","121.635","65.624","127.102","0.0391333","43.164","7028.853","34.483000000000004","26.01","0.1831909","1.136489E22","2.170359E13","1.698622E23","1085.645","263.519"
"2014/03/29 01:34","121.486","65.278","127.254","0.03838312","43.396","6994.076999999998","34.666","26.633000000000006","0.15142681","1.1490400000000001E22","2.219046E13","1.716597E23","1112.851","260.922"
"2014/03/29 01:46","121.078","64.921","127.236","0.03912988","43.415","6984.9180000000015","34.905","27.072","0.12132084","1.155189E22","2.219833E13","1.726965E23","1107.018","267.153"
