"TimeStamp","Mean Gradient Total","Mean Gradient Horizontal","Mean Gradient Vertical","Twist (alpha)","Mean Inclination angle fro Radial","Mean Photospheric Magnetic Free Energy","Mean Shear Angle","Fraction Area Shear gt 45 deg","Mean Vertical Current Density","Unsigned Magnetic Flux in Gauss/Cm^2","Total Unsigned current Ampere","Total Photospheric Energy Density","Total Unsigned Current Helicity","Absolute Val of Current Helicity"
"2012/07/11 15:48","127.801","56.037","123.718","-0.01893912","32.453","1552.842","24.377","5.762","0.15962262","2.975467E21","5.693266E12","1.184759E22","218.414","20.863"
"2012/07/11 16:00","128.165","55.844","124.345","-0.02669715","32.519","1575.778","24.377","6.178","0.294539","2.866839E21","5.370825E12","1.148266E22","208.864","28.639"
"2012/07/11 16:12","128.233","56.376","124.66","-0.02322327","32.743","1566.009","24.69","6.69","0.17268212","2.893617E21","5.430838E12","1.153418E22","210.123","25.206"
"2012/07/11 16:24","128.608","56.714","124.771","-0.02193151","32.452","1600.097","24.827","6.599","0.1549854","2.925583E21","5.631599E12","1.185112E22","217.169","23.958"
"2012/07/11 16:36","124.968","55.83","121.208","-0.01414922","33.142","1565.489","25.275","7.128","0.10519224","2.955966E21","5.858585E12","1.201685E22","220.112","15.396"
"2012/07/11 16:48","124.688","54.403","122.18","-0.01115683","32.477","1557.551","24.722","6.398","-0.05514689","2.917258E21","5.782473E12","1.160634E22","222.895","11.983"
"2012/07/11 17:00","123.237","52.681","121.429","-0.02124964","32.252","1520.249","24.727","6.503","0.26285353","2.9742320000000003E21","5.817518E12","1.154844E22","225.727","23.231"
"2012/07/11 17:12","124.844","53.07","123.426","-0.01602297","32.133","1553.175","24.729","7.232","-0.02007047","3.0011E21","5.935259E12","1.175112E22","230.36","17.969"
"2012/07/11 17:24","125.674","52.291","124.541","-0.01580092","31.751","1549.444","24.704","7.371","-0.02911082","3.020783E21","5.917723E12","1.166939E22","233.769","17.916"
"2012/07/11 17:36","125.353","50.959","125.395","-0.02007091","32.009","1540.275","24.642","7.216","-0.10316866","3.07862E21","5.994333E12","1.193376E22","233.062","23.214"
"2012/07/11 17:48","127.272","51.69","127.02","-0.02379964","31.451","1588.328","25.091","7.659","-0.1339519","3.091791E21","6.259789E12","1.217317E22","248.612","27.927"
